title,price,manufacturer,inStock,mainImage,description,slug,categoryId
Samsung Galaxy S24 Ultra,1299.99,Samsung,45,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=500,"Flagship smartphone with 200MP camera, S Pen, AI features, 5000mAh battery and titanium frame.",samsung-galaxy-s24-ultra,smartphones
iPhone 15 Pro Max,1199.99,Apple,30,https://images.unsplash.com/photo-1695048133037-3e8f73de3e05?w=500,"Apple's most powerful iPhone with A17 Pro chip, titanium design, and 48MP ProRAW camera system.",iphone-15-pro-max,smartphones
Google Pixel 8 Pro,999.99,Google,25,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500,"Google's flagship with Tensor G3 chip, 50MP camera with AI magic eraser and real-time translation.",google-pixel-8-pro,smartphones
OnePlus 12,799.99,OnePlus,35,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500,"Flagship killer with Snapdragon 8 Gen 3, 100W fast charging and Hasselblad tuned camera.",oneplus-12,smartphones
Xiaomi 14 Pro,899.99,Xiaomi,20,https://images.unsplash.com/photo-1546054454-aa26e2b734c7?w=500,"Leica co-engineered cameras, Snapdragon 8 Gen 3, and 120W HyperCharge for all-day power.",xiaomi-14-pro,smartphones
Samsung Galaxy A54,449.99,Samsung,60,https://images.unsplash.com/photo-1606220838315-056192d5e927?w=500,"Mid-range powerhouse with 50MP OIS camera, 5000mAh battery and 5G connectivity.",samsung-galaxy-a54,smartphones
iPhone 14,699.99,Apple,40,https://images.unsplash.com/photo-1664478546384-d57ffe74a78c?w=500,"Reliable performance with A15 Bionic chip, improved camera system and Emergency SOS via satellite.",iphone-14,smartphones
Motorola Edge 40 Pro,599.99,Motorola,28,https://images.unsplash.com/photo-1574920162043-b872873f19c8?w=500,"165Hz curved display, 125W TurboPower charging, Snapdragon 8 Gen 2 and IP68 water resistance.",motorola-edge-40-pro,smartphones
Apple MacBook Pro 16-inch M3,2499.99,Apple,15,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500,"M3 Pro chip with Liquid Retina XDR display, up to 22 hours battery life, ideal for professionals.",apple-macbook-pro-16-m3,laptops
Dell XPS 15,1799.99,Dell,18,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=500,"15.6-inch OLED 3.5K display, Intel Core i9, RTX 4060, premium aluminum build for power users.",dell-xps-15,laptops
