title,price,description,manufacturer,category,inStock,mainImage,rating
Samsung Galaxy S24 Ultra,1299.99,"Flagship smartphone with 200MP camera, S Pen, AI features, 5000mAh battery and titanium frame.",Samsung,Smartphones,45,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=500,5
iPhone 15 Pro Max,1199.99,"Apple's most powerful iPhone with A17 Pro chip, titanium design, and 48MP ProRAW camera system.",Apple,Smartphones,30,https://images.unsplash.com/photo-1695048133037-3e8f73de3e05?w=500,5
Google Pixel 8 Pro,999.99,"Google's flagship with Tensor G3 chip, 50MP camera with AI magic eraser and real-time translation.",Google,Smartphones,25,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500,4
OnePlus 12,799.99,"Flagship killer with Snapdragon 8 Gen 3, 100W fast charging and Hasselblad tuned camera.",OnePlus,Smartphones,35,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500,4
Xiaomi 14 Pro,899.99,"Leica co-engineered cameras, Snapdragon 8 Gen 3, and 120W HyperCharge for all-day power.",Xiaomi,Smartphones,20,https://images.unsplash.com/photo-1546054454-aa26e2b734c7?w=500,4
Samsung Galaxy A54,449.99,"Mid-range powerhouse with 50MP OIS camera, 5000mAh battery and 5G connectivity.",Samsung,Smartphones,60,https://images.unsplash.com/photo-1606220838315-056192d5e927?w=500,4
iPhone 14,699.99,"Reliable performance with A15 Bionic chip, improved camera system and Emergency SOS via satellite.",Apple,Smartphones,40,https://images.unsplash.com/photo-1664478546384-d57ffe74a78c?w=500,4
Motorola Edge 40 Pro,599.99,"165Hz curved display, 125W TurboPower charging, Snapdragon 8 Gen 2 and IP68 water resistance.",Motorola,Smartphones,28,https://images.unsplash.com/photo-1574920162043-b872873f19c8?w=500,4
Apple MacBook Pro 16-inch M3,2499.99,"M3 Pro chip with Liquid Retina XDR display, up to 22 hours battery life, ideal for professionals.",Apple,Laptops,15,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500,5
Dell XPS 15,1799.99,"15.6-inch OLED 3.5K display, Intel Core i9, RTX 4060, premium aluminum build for power users.",Dell,Laptops,18,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=500,5
Lenovo ThinkPad X1 Carbon,1599.99,"Ultra-light business laptop with Intel Core i7, military-grade durability and all-day battery.",Lenovo,Laptops,22,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500,4
HP Spectre x360 14,1499.99,"2-in-1 convertible with OLED display, Intel Core i7, premium gem-cut design and stylus support.",HP,Laptops,20,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500,4
ASUS ROG Zephyrus G14,1699.99,"Gaming laptop with AMD Ryzen 9, RTX 4060, 165Hz display and compact 14-inch form factor.",ASUS,Laptops,12,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500,5
Microsoft Surface Laptop 5,1299.99,"Sleek 13.5-inch touchscreen laptop with Intel Core i7, Alcantara keyboard and Windows Hello.",Microsoft,Laptops,16,https://images.unsplash.com/photo-1484788984921-03950022c9ef?w=500,4
Acer Swift X 14,999.99,"Thin and light laptop with Intel Core i7, RTX 3050, 2.8K OLED display and 18-hour battery.",Acer,Laptops,25,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500,4
Sony WH-1000XM5,399.99,"Industry-leading noise cancellation, 30-hour battery, multipoint connection and premium sound.",Sony,Audio,50,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=500,5
Apple AirPods Pro 2nd Gen,249.99,"Active noise cancellation, Adaptive Transparency, Personalized Spatial Audio with H2 chip.",Apple,Audio,75,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=500,5
Bose QuietComfort 45,329.99,World-class noise cancellation with TriPort acoustic architecture and 24-hour battery life.,Bose,Audio,40,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,5
Samsung Galaxy Buds2 Pro,229.99,"Hi-Fi 24-bit audio, intelligent ANC, 360 Audio and ergonomic design for all-day comfort.",Samsung,Audio,55,https://images.unsplash.com/photo-1572536147248-ac59a8abfa4b?w=500,4
JBL Tune 770NC,149.99,"Adaptive Noise Cancelling, JBL Pure Bass Sound, 70-hour battery and foldable design.",JBL,Audio,65,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500,4
Sennheiser Momentum 4,349.99,"60-hour battery, adaptive noise cancellation, crystal-clear calls and audiophile-grade sound.",Sennheiser,Audio,30,https://images.unsplash.com/photo-1558756520-22cfe5d382ca?w=500,5
Apple iPad Pro 12.9-inch M2,1099.99,"Stunning Liquid Retina XDR display, M2 chip, Apple Pencil support and up to 16GB RAM.",Apple,Tablets,20,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500,5
Samsung Galaxy Tab S9 Ultra,1199.99,"14.6-inch Dynamic AMOLED 2X display, Snapdragon 8 Gen 2, S Pen included and IP68 rating.",Samsung,Tablets,15,https://images.unsplash.com/photo-1632516643720-e7f5d7d6ecc9?w=500,5
Microsoft Surface Pro 9,999.99,"2-in-1 tablet with Intel Core i5, detachable keyboard, 13-inch PixelSense Flow display.",Microsoft,Tablets,18,https://images.unsplash.com/photo-1561154464-82e9adf32764?w=500,4
Lenovo Tab P12 Pro,699.99,"12.6-inch Super AMOLED display, Snapdragon 870, quad speakers and productivity mode.",Lenovo,Tablets,22,https://images.unsplash.com/photo-1585792180666-f7347c490ee2?w=500,4
Amazon Fire HD 10 Plus,179.99,"10.1-inch Full HD display, octa-core processor, wireless charging and 12-hour battery.",Amazon,Tablets,80,https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500,4
Apple Watch Series 9,399.99,"S9 chip, Double Tap gesture, Always-On Retina display and advanced health sensors.",Apple,Smartwatches,45,https://images.unsplash.com/photo-1551816230-ef5deaed4a26?w=500,5
Samsung Galaxy Watch 6 Classic,349.99,"Iconic rotating bezel, advanced health tracking, BioActive sensor and sapphire crystal glass.",Samsung,Smartwatches,35,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,5
Garmin Fenix 7X Solar,899.99,"Multi-sport GPS watch with solar charging, 28-day battery life and military standard toughness.",Garmin,Smartwatches,15,https://images.unsplash.com/photo-1508057198894-247b23fe5ade?w=500,5
Fitbit Sense 2,249.99,"Advanced health smartwatch with EDA sensor, skin temperature, ECG and Google Assistant.",Fitbit,Smartwatches,40,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500,4
Huawei Watch GT 4,299.99,"14-day battery, precise health monitoring, 100+ workout modes and stainless steel design.",Huawei,Smartwatches,28,https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=500,4
Sony Alpha A7R V,3899.99,"61MP full-frame sensor, AI-based autofocus, 8K video recording and in-body stabilization.",Sony,Cameras,8,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500,5
Canon EOS R5,3799.99,"45MP mirrorless with 8K RAW video, Dual Pixel CMOS AF II and 20fps continuous shooting.",Canon,Cameras,10,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=500,5
Nikon Z8,3999.99,"45.7MP stacked BSI sensor, 8K 60p video, compact Z9 performance in a smaller body.",Nikon,Cameras,7,https://images.unsplash.com/photo-1581591524425-c7e0978865fc?w=500,5
GoPro Hero 12 Black,399.99,"5.3K60 video, HyperSmooth 6.0, HDR video and up to 27MP photos, waterproof to 10m.",GoPro,Cameras,50,https://images.unsplash.com/photo-1564466809058-bf4114d55352?w=500,4
DJI Osmo Pocket 3,519.99,"1-inch CMOS sensor, 4K 120fps, 3-axis mechanical stabilization and rotating touchscreen.",DJI,Cameras,30,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=500,5
PlayStation 5,499.99,"Next-gen gaming with custom SSD, ray tracing, 4K 120fps and DualSense haptic feedback controller.",Sony,Gaming,20,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=500,5
Xbox Series X,499.99,"12 teraflops of power, 4K gaming at 60fps, Quick Resume and Xbox Game Pass ready.",Microsoft,Gaming,22,https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=500,5
Nintendo Switch OLED,349.99,"Vibrant 7-inch OLED screen, enhanced audio, 64GB storage and wide adjustable stand.",Nintendo,Gaming,35,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=500,5
ASUS ROG Ally,699.99,"Handheld Windows gaming PC with AMD Z1 Extreme, 7-inch 120Hz display and 40Whr battery.",ASUS,Gaming,18,https://images.unsplash.com/photo-1493711662062-fa541adb3fc8?w=500,4
SteelSeries Arctis Nova Pro,349.99,"Multi-system noise cancellation, dual wireless, hot-swap battery and Hi-Res audio certified.",SteelSeries,Gaming,30,https://images.unsplash.com/photo-1599669454699-248893623440?w=500,5
Samsung 65-inch QLED 4K Q80C,1299.99,"Quantum Dot technology, 120Hz panel, Motion Xcelerator Turbo+ and Tizen smart OS.",Samsung,TVs,10,https://images.unsplash.com/photo-1593359677879-a4bb92f829e1?w=500,5
LG C3 55-inch OLED TV,1499.99,"Evo panel, self-lit pixels, Dolby Vision IQ, G-Sync compatible and webOS smart platform.",LG,TVs,8,https://images.unsplash.com/photo-1567690187548-f07b1d7bf5a9?w=500,5
Dell UltraSharp 27 4K Monitor,699.99,"IPS Black panel, 3840x2160 4K resolution, USB-C 90W charging and factory color calibration.",Dell,Monitors,20,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500,5
LG 27GP950-B 27-inch Gaming Monitor,799.99,"Nano IPS 4K 160Hz gaming monitor with HDMI 2.1, G-Sync compatible and HDR600 support.",LG,Monitors,15,https://images.unsplash.com/photo-1585792180666-f7347c490ee2?w=500,5
Amazon Echo Show 10 3rd Gen,249.99,"10.1-inch HD screen, smart home hub, motion tracking, Alexa built-in and premium speakers.",Amazon,Smart Home,40,https://images.unsplash.com/photo-1512446816042-444d641267d4?w=500,4
Google Nest Hub Max,229.99,"10-inch display, built-in camera for video calls, Google Assistant and Nest Cam features.",Google,Smart Home,35,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,4
Philips Hue Starter Kit,199.99,"4 smart color bulbs with Hue Bridge, 16M colors, works with Alexa, Google and Apple HomeKit.",Philips,Smart Home,55,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=500,4
Ring Video Doorbell Pro 2,249.99,"3D motion detection, bird's eye zone, 1536p HD+ video and dual-band Wi-Fi connectivity.",Ring,Smart Home,45,https://images.unsplash.com/photo-1558002038-1055907df827?w=500,4
Anker PowerCore 26800mAh,79.99,"26800mAh portable charger with 3 USB ports, PowerIQ technology and dual input charging.",Anker,Accessories,100,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=500,5
